time,T1,T2,T3,T4,thermo1,thermo2,thermo3
25900.0,20.832783,22.756546,24.49337,27.002449,24.975348,30.682505,27.623217
26000.0,20.820747,22.784689,24.52727,27.03312,24.972345,30.68429,27.642815
26100.0,20.808716,22.81263,24.561003,27.063576,24.96933,30.686127,27.66231
26200.0,20.796686,22.84035,24.594559,27.09382,24.966309,30.687998,27.681717
26300.0,20.784647,22.867874,24.627953,27.123857,24.963274,30.689896,27.701035
26400.0,20.77262,22.895193,24.661188,27.15368,24.960222,30.69184,27.720251
26500.0,20.760561,22.922287,24.694246,27.183332,24.957148,30.693817,27.739378
26600.0,20.748514,22.94918,24.727125,27.212784,24.954058,30.695822,27.758432
26700.0,20.736465,22.975883,24.75985,27.242048,24.950953,30.697868,27.77741
26800.0,20.724413,23.00239,24.792414,27.271143,24.94784,30.699951,27.796303
26900.0,20.71237,23.028679,24.824793,27.300072,24.944704,30.702066,27.815125
27000.0,20.700325,23.054766,24.85701,27.328836,24.941559,30.704231,27.833857
27100.0,20.688292,23.08065,24.889069,27.357447,24.938406,30.706427,27.852503
27200.0,20.676243,23.106354,24.920984,27.385874,24.935226,30.708654,27.871078
27300.0,20.664202,23.131876,24.952753,27.414106,24.932028,30.710917,27.88957
27400.0,20.65217,23.157228,24.984373,27.44216,24.92882,30.71322,27.90798
27500.0,20.64014,23.182478,25.015882,27.470015,24.925604,30.715555,27.926308
27600.0,20.628113,23.207563,25.047235,27.497683,24.922388,30.717926,27.944544
27700.0,20.616083,23.23247,25.078451,27.525164,24.919151,30.720327,27.962698
27800.0,20.60404,23.25718,25.109507,27.55246,24.9159,30.72277,27.980759
27900.0,20.592012,23.281708,25.140427,27.579567,24.912626,30.725237,27.998747
28000.0,20.579996,23.306044,25.17119,27.606512,24.909342,30.72774,28.016642
28100.0,20.567974,23.330187,25.201784,27.633299,24.906046,30.730278,28.03447
28200.0,20.555975,23.354147,25.232239,27.659906,24.90273,30.732855,28.05221
28300.0,20.54398,23.377935,25.262552,27.68635,24.899412,30.73546,28.069893
28400.0,20.531982,23.401535,25.29271,27.712626,24.896074,30.73809,28.087496
28500.0,20.520006,23.424936,25.322695,27.738747,24.892714,30.740751,28.105019
28600.0,20.508022,23.448153,25.352537,27.764711,24.889338,30.743452,28.122467
28700.0,20.496069,23.471191,25.38223,27.790533,24.88595,30.74617,28.139845
28800.0,20.484112,23.494051,25.411806,27.816238,24.882547,30.748922,28.157145
28900.0,20.472158,23.516745,25.441244,27.841772,24.87913,30.751703,28.174372
29000.0,20.460218,23.539259,25.470533,27.867147,24.875696,30.754522,28.19152
29100.0,20.448286,23.5616,25.499672,27.89235,24.87224,30.75737,28.20859
29200.0,20.436361,23.58378,25.528677,27.917376,24.868776,30.760244,28.225576
29300.0,20.424446,23.605894,25.557602,27.94223,24.865301,30.763151,28.24248
29400.0,20.412561,23.62786,25.586403,27.96692,24.861803,30.766085,28.259308
29500.0,20.400663,23.649664,25.615074,27.991457,24.858313,30.76905,28.276049
